Sun Jul 10 2022 20:12:11 GMT+0200,820.48,-16.00390625,-2.03515625,-8.01953125
Sun Jul 10 2022 20:12:13 GMT+0200,820.35,-8.00390625,-0.06640625,-16.01953125
Sun Jul 10 2022 20:12:15 GMT+0200,820.63,-0.01953125,-8.01171875,-0.03515625
Sun Jul 10 2022 20:12:17 GMT+0200,820.49,-0.25390625,-2.00390625,-8.00390625
Sun Jul 10 2022 20:12:19 GMT+0200,820.72,-0.00390625,-0.00390625,-16.00390625
Sun Jul 10 2022 20:12:20 GMT+0200,820.48,-4.01171875,-0.00390625,-0.00390625
Sun Jul 10 2022 20:12:24 GMT+0200,820.22,-4.12890625,-4.25390625,-2.06640625
Sun Jul 10 2022 20:12:25 GMT+0200,821.44,-0.00390625,-0.25390625,-0.01953125
Sun Jul 10 2022 20:12:26 GMT+0200,820.63,127.99609375,-1.01171875,-0.00390625
Sun Jul 10 2022 20:12:28 GMT+0200,820.39,-0.00390625,-0.00390625,-0.00390625
Sun Jul 10 2022 20:12:30 GMT+0200,820.67,-0.03515625,-2.01171875,-0.00390625
Sun Jul 10 2022 20:12:31 GMT+0200,820.13,-0.00390625,-2.06640625,-8.00390625
Sun Jul 10 2022 20:12:42 GMT+0200,820.63,-0.12890625,-0.01171875,-0.00390625
Sun Jul 10 2022 20:12:44 GMT+0200,820.26,-66.06640625,-0.01171875,-0.07421875
Sun Jul 10 2022 20:12:45 GMT+0200,820.46,-32.06640625,-64.06640625,-0.01171875
Sun Jul 10 2022 20:12:46 GMT+0200,820.52,-0.01171875,-0.00390625,-0.00390625
Sun Jul 10 2022 20:12:47 GMT+0200,820.56,-0.00390625,-0.00390625,-0.00390625
Sun Jul 10 2022 20:12:49 GMT+0200,820.35,-8.06640625,-0.00390625,-0.12890625
Sun Jul 10 2022 20:12:50 GMT+0200,820.33,-64.50390625,-72.03515625,-0.00390625
Sun Jul 10 2022 20:12:51 GMT+0200,820.67,-0.01953125,-0.06640625,-2.03515625
Sun Jul 10 2022 20:12:52 GMT+0200,820.39,-8.51171875,-0.00390625,-8.00390625
Sun Jul 10 2022 20:12:53 GMT+0200,819.54,-16.00390625,-16.00390625,-1.01953125
Sun Jul 10 2022 20:12:54 GMT+0200,820.79,-8.00390625,-4.03515625,-4.00390625
Sun Jul 10 2022 20:12:58 GMT+0200,820.92,-0.25390625,-10.00390625,-64.00390625
Sun Jul 10 2022 20:13:01 GMT+0200,820.70,-0.00390625,-0.01953125,-1.03515625
Sun Jul 10 2022 20:13:02 GMT+0200,820.22,-0.00390625,-2.00390625,-2.00390625
Sun Jul 10 2022 20:13:07 GMT+0200,820.52,-8.03515625,-4.00390625,-0.00390625
Sun Jul 10 2022 20:13:08 GMT+0200,820.37,-0.5078125,-0.03515625,-8.00390625
Sun Jul 10 2022 20:13:12 GMT+0200,820.61,-0.28515625,-0.03515625,-0.12890625
Sun Jul 10 2022 20:13:14 GMT+0200,820.29,-0.00390625,-0.01171875,-2.00390625
Sun Jul 10 2022 20:13:16 GMT+0200,820.49,-0.00390625,-1.12890625,-0.2578125
Sun Jul 10 2022 20:13:17 GMT+0200,820.85,-0.00390625,-8.06640625,-16.00390625
Sun Jul 10 2022 20:13:19 GMT+0200,820.56,-0.0078125,-0.00390625,-0.00390625
Sun Jul 10 2022 20:13:20 GMT+0200,820.98,-0.00390625,-0.00390625,-0.06640625
Sun Jul 10 2022 20:13:21 GMT+0200,818.05,-8.00390625,-2.06640625,-0.06640625
Sun Jul 10 2022 20:13:23 GMT+0200,820.21,-16.00390625,-40.00390625,-0.00390625
Sun Jul 10 2022 20:13:24 GMT+0200,820.06,-0.12890625,-0.00390625,-0.00390625
Sun Jul 10 2022 20:13:31 GMT+0200,820.19,-0.5078125,-2.00390625,-0.00390625
Sun Jul 10 2022 20:13:35 GMT+0200,819.97,-16.00390625,-18.00390625,-2.00390625
Sun Jul 10 2022 20:13:37 GMT+0200,820.09,-0.25390625,-0.00390625,-0.0078125
Sun Jul 10 2022 20:13:38 GMT+0200,820.24,-0.00390625,-8.1328125,-0.00390625
Sun Jul 10 2022 20:13:45 GMT+0200,820.68,-8.00390625,-0.06640625,-0.00390625
Sun Jul 10 2022 20:13:46 GMT+0200,820.49,-64.51953125,-0.00390625,-0.03515625
Sun Jul 10 2022 20:13:55 GMT+0200,820.52,-0.01171875,-0.00390625,-0.2578125
Sun Jul 10 2022 20:13:56 GMT+0200,820.11,-0.1328125,-1.00390625,-0.50390625
Sun Jul 10 2022 20:13:58 GMT+0200,820.44,-0.00390625,-4.08203125,-0.00390625
Sun Jul 10 2022 20:14:03 GMT+0200,821.05,-0.0078125,-2.06640625,-0.07421875
Sun Jul 10 2022 20:14:04 GMT+0200,820.49,-0.0078125,-0.01953125,-2.06640625
Sun Jul 10 2022 20:14:05 GMT+0200,820.57,-0.12890625,-0.03515625,-1.03515625
Sun Jul 10 2022 20:14:08 GMT+0200,820.85,-0.50390625,-2.00390625,-0.00390625
Sun Jul 10 2022 20:14:12 GMT+0200,820.28,-16.12890625,-0.03515625,-8.00390625
Sun Jul 10 2022 20:14:13 GMT+0200,820.22,-0.00390625,-0.01953125,-0.0078125
Sun Jul 10 2022 20:14:17 GMT+0200,820.54,-64.00390625,-16.00390625,-0.00390625
Sun Jul 10 2022 20:14:21 GMT+0200,820.59,-8.00390625,-0.00390625,-0.01171875
Sun Jul 10 2022 20:14:25 GMT+0200,820.35,-0.50390625,-0.00390625,-0.00390625
Sun Jul 10 2022 20:14:31 GMT+0200,820.46,-0.01953125,-0.01171875,-4.01171875
Sun Jul 10 2022 20:14:35 GMT+0200,820.56,-8.03515625,-0.00390625,-64.0703125
Sun Jul 10 2022 20:14:36 GMT+0200,820.61,-0.01953125,-0.03515625,-0.00390625
Sun Jul 10 2022 20:14:38 GMT+0200,820.49,-36.12890625,-64.12890625,-0.12890625
Sun Jul 10 2022 20:14:46 GMT+0200,820.57,-0.5078125,-0.00390625,-2.00390625
Sun Jul 10 2022 20:14:48 GMT+0200,820.37,-4.12890625,-1.00390625,-0.25390625
Sun Jul 10 2022 20:14:49 GMT+0200,820.17,-0.00390625,-0.00390625,-2.00390625
Sun Jul 10 2022 20:14:51 GMT+0200,820.56,-0.00390625,-0.06640625,-4.00390625
Sun Jul 10 2022 20:14:54 GMT+0200,820.37,-0.12890625,-8.03515625,-2.00390625
Sun Jul 10 2022 20:14:55 GMT+0200,820.39,-16.00390625,-0.00390625,-0.00390625
